image,E(GPa),H(GPa),Load(N),InnerPixels,CrackLength(um),FractureToughness(Kc)
63.JPG,79.3,2.13,0.399132,4286,28.720046737118054,15822883.364281852
77.JPG,72.1,2.44,0.449432,4088,28.048814000162825,16446176.87853428
88.JPG,50.1,1.12,0.44990600000000003,3887,27.350566699431017,21036919.384427194
89.JPG,68.1,2.33,0.44986000000000004,3565,26.193216104308487,18142191.01739167
76.JPG,69.2,2.03,0.449484,3318,25.26953497244708,20659670.495353486
62.JPG,80.3,2.32,0.39943599999999996,4009,27.776472233296115,16052598.873166207
74.JPG,67.4,2.25,0.44917,4323,28.843746946301042,15869816.905713348
60.JPG,74.1,2.2,0.349923,3543,26.112270447300215,15219602.15314842
48.JPG,74.3,2.2,0.349411,2777,23.117826437186164,18268342.334098805
149.JPG,72.4,2.19,0.599453,5939,33.80770744823921,17533910.332819875
148.JPG,72.9,2.19,0.599785,5025,31.09761567857933,19954767.362267483
49.JPG,70.5,2.25,0.34981599999999996,3859,27.2518787658317,13764115.128436297
61.JPG,65.5,2.32,0.349834,3695,26.666516112006253,13498616.30757996
75.JPG,70.8,2.03,0.449182,3413,25.628736922604364,20445613.64342781
59.JPG,75.5,2.35,0.349972,2218,20.66045253669104,21123364.79623051
71.JPG,69.5,2.56,0.399128,3314,25.2542985918201,16386328.198983332
65.JPG,70.2,2.28,0.39965300000000004,4093,28.06596189807824,14914692.814724537
64.JPG,64.9,1.88,0.399428,4527,29.51646246092416,14634755.467980718
70.JPG,67.8,2.05,0.399363,3895,27.378697914580673,16031957.671577072
58.JPG,60.7,2.23,0.349262,2825,23.316764430059706,16184184.585815359
8.JPG,58.0,1.98,0.199843,2872,23.509926790702725,9488409.66334233
66.JPG,65.0,2.38,0.399814,4956,30.88337165371135,12174163.65236174
72.JPG,62.0,2.02,0.399199,4065,27.969798260837397,14951184.605226383
99.JPG,58.2,2.46,0.29668900000000004,2899,23.620178029111216,12571023.365082404
98.JPG,67.5,2.22,0.449453,3410,25.617470717829942,19114164.094748545
73.JPG,76.1,2.06,0.39916199999999996,3510,25.990379276798986,18310026.902518272
67.JPG,54.5,1.66,0.399303,4205,28.447365911699546,15079387.156817539
9.JPG,72.5,2.34,0.19989500000000002,2097,20.088997938263333,12357357.028370526
14.JPG,55.7,2.34,0.249597,4791,30.364920218828704,7277811.675987165
28.JPG,82.7,2.37,0.299977,2727,22.90876239986285,16160846.20849792
129.JPG,75.7,2.22,0.54887,4817,30.447201550040834,19077430.198894862
101.JPG,82.0,2.7,0.498892,3444,25.74486568288307,21047263.510545705
115.JPG,68.3,2.22,0.499684,3226,24.91674114864497,22283963.956806183
114.JPG,83.2,2.28,0.49908800000000003,3877,27.31536193944218,21118395.954663154
100.JPG,49.6,0.8,0.499243,3157,24.648832290338138,32122793.371193595
128.JPG,70.0,1.75,0.5489740000000001,3001,24.032118493369566,29470919.55297992
29.JPG,64.4,2.05,0.299611,2712,22.84567012252916,15378639.090916505
15.JPG,68.1,2.56,0.249667,2767,23.0761651554708,11616338.484980717
17.JPG,58.7,2.28,0.249787,3134,24.558879885154152,10413785.468204405
116.JPG,68.1,2.35,0.549271,4763,30.276059475820094,17749138.17355086
102.JPG,69.8,2.14,0.49955700000000003,4542,29.565322720259513,17747285.573880907
103.JPG,73.4,2.29,0.498917,4159,28.291340074067737,18770606.799321115
117.JPG,29.5,0.38,0.549566,2985,23.96796857982915,41265985.95485586
16.JPG,71.8,2.06,0.249579,4569,29.65306830626133,9124985.756591767
12.JPG,70.3,2.37,0.19972800000000002,3199,24.812251752831116,8801226.022626787
113.JPG,66.5,2.35,0.49961,3525,26.045855069431113,19994018.266299676
107.JPG,61.0,2.35,0.499349,4247,28.58908062674944,16643125.44715945
106.JPG,66.9,2.45,0.499808,3986,27.696679542199323,17918087.81563022
112.JPG,57.7,2.0,0.49912799999999996,3014,24.08411448332373,22682390.231957145
13.JPG,72.8,2.19,0.19987799999999997,3516,26.012583791123888,8686271.290987974
39.JPG,55.0,2.52,0.29948899999999995,2411,21.5405934537266,13995082.206929056
11.JPG,54.8,2.02,0.199852,2891,23.5875647197643,9086537.768874468
104.JPG,74.2,2.34,0.49980399999999997,4932,30.80850276381091,16458409.436138866
110.JPG,65.7,2.22,0.499847,3518,26.01998108511421,20487210.16756697
138.JPG,70.4,2.31,0.599362,3879,27.322406520330265,23168137.46602907
139.JPG,66.5,2.32,0.508367,3753,26.874991846626145,19535371.277409237
