image,E(GPa),H(GPa),Load(N),InnerPixels,CrackLength(um),FractureToughness(Kc)
63.JPG,79.3,2.13,0.399132,3976,27.661915276531087,16739403.188860385
77.JPG,72.1,2.44,0.449432,3207,24.843257390360666,19729855.39361539
88.JPG,50.1,1.12,0.44990600000000003,3891,27.364635921914708,21020697.623577297
89.JPG,68.1,2.33,0.44986000000000004,4065,27.969798260837397,16441406.743427388
76.JPG,69.2,2.03,0.449484,3331,25.318989886846087,20599169.08008484
62.JPG,80.3,2.32,0.39943599999999996,4016,27.800711508074375,16031609.202002993
74.JPG,67.4,2.25,0.44917,4444,29.24462683570378,15544626.99069729
60.JPG,74.1,2.2,0.349923,3238,24.963040490800314,16282610.377549812
48.JPG,74.3,2.2,0.349411,3124,24.51966721462855,16724293.566695694
149.JPG,72.4,2.19,0.599453,5137,31.442266313711695,19549317.540573154
148.JPG,72.9,2.19,0.599785,4939,30.83035830437029,20214800.004141647
49.JPG,70.5,2.25,0.34981599999999996,3953,27.58179118009193,13517901.256283533
61.JPG,65.5,2.32,0.349834,4084,28.035088129998996,12522348.46339187
75.JPG,70.8,2.03,0.449182,3515,26.008884355168167,19999004.078011468
59.JPG,75.5,2.35,0.349972,2485,21.868664179111168,19397218.629671596
71.JPG,69.5,2.56,0.399128,3985,27.693205079469454,14270026.60405949
65.JPG,70.2,2.28,0.39965300000000004,4312,28.8070266934167,14342886.355736924
64.JPG,64.9,1.88,0.399428,3814,27.09252004206593,16642088.398701217
70.JPG,67.8,2.05,0.399363,3943,27.546881925272384,15885360.359314853
58.JPG,60.7,2.23,0.349262,3059,24.26324018930053,15246496.360778958
8.JPG,58.0,1.98,0.199843,2430,21.625302727212787,10755411.93487664
66.JPG,65.0,2.38,0.399814,5247,31.77712417467407,11664182.622209182
72.JPG,62.0,2.02,0.399199,4077,28.011051673021868,14918167.624726793
99.JPG,58.2,2.46,0.29668900000000004,3152,24.629305366342894,11806390.362632992
98.JPG,67.5,2.22,0.449453,3405,25.59868269130709,19135211.074667085
73.JPG,76.1,2.06,0.39916199999999996,3296,25.18562081326702,19194593.42705595
67.JPG,54.5,1.66,0.399303,4503,29.43811736598705,14324574.536112387
9.JPG,72.5,2.34,0.19989500000000002,2187,20.515563512593,11973960.745384991
14.JPG,55.7,2.34,0.249597,4666,29.966182918076132,7423554.31952027
28.JPG,82.7,2.37,0.299977,3076,24.330566701355234,14765161.531140933
129.JPG,75.7,2.22,0.54887,4737,30.193311760229594,19318563.0386453
101.JPG,82.0,2.7,0.498892,3594,26.299536545140327,20384940.16115521
115.JPG,68.3,2.22,0.499684,3284,25.13973139619655,21988133.15525123
114.JPG,83.2,2.28,0.49908800000000003,3892,27.368152097441186,21057322.831444304
100.JPG,49.6,0.8,0.499243,3049,24.22354894697285,32972446.501540855
128.JPG,70.0,1.75,0.5489740000000001,3105,24.444989846822654,28727443.563074075
29.JPG,64.4,2.05,0.299611,2917,23.693393841787337,14560719.880971445
15.JPG,68.1,2.56,0.249667,2958,23.85932449632577,11049115.169423336
17.JPG,58.7,2.28,0.249787,3000,24.02811414134754,10760734.835369855
116.JPG,68.1,2.35,0.549271,5448,32.38005696178375,16047592.300105188
102.JPG,69.8,2.14,0.49955700000000003,4481,29.366117415817346,17928174.766991552
103.JPG,73.4,2.29,0.498917,4218,28.491305313737623,18573342.657290634
117.JPG,29.5,0.38,0.549566,3021,24.112065881503252,40896621.64771011
16.JPG,71.8,2.06,0.249579,4149,28.25730741399917,9809355.807196826
12.JPG,70.3,2.37,0.19972800000000002,2905,23.644608490420975,9461157.05208977
113.JPG,66.5,2.35,0.49961,3867,27.280111748037754,18652575.06712619
107.JPG,61.0,2.35,0.499349,4467,29.320207209761545,16024504.819497224
106.JPG,66.9,2.45,0.499808,4187,28.386414456549243,17269008.800264236
112.JPG,57.7,2.0,0.49912799999999996,3037,24.175833439814046,22553433.10146363
13.JPG,72.8,2.19,0.19987799999999997,3000,24.02811414134754,9784285.078002824
39.JPG,55.0,2.52,0.29948899999999995,2412,21.545060139819963,13990730.276700094
11.JPG,54.8,2.02,0.199852,2748,22.996800790059847,9438912.465814259
104.JPG,74.2,2.34,0.49980399999999997,4043,27.894008546243143,19104134.05864142
110.JPG,65.7,2.22,0.499847,3477,25.86791375412358,20668129.830968145
138.JPG,70.4,2.31,0.599362,4021,27.818012344591196,22551757.93320187
139.JPG,66.5,2.32,0.508367,3782,26.97862560173124,19422916.78560059
111.JPG,105.9,5.6,0.49988900000000003,2248,20.799706769874415,22916153.79333897
105.JPG,79.0,2.43,0.499287,4306,28.78697772217227,18431749.51208966
10.JPG,68.1,2.19,0.19977899999999998,2871,23.505833480531418,9775474.578369882
38.JPG,75.2,2.56,0.299389,2951,23.831076660379026,13947914.668165734
21.JPG,80.1,2.02,0.24975299999999998,3324,25.292372333612864,12364226.069144296
35.JPG,65.7,2.16,0.299675,3314,25.2542985918201,13022769.589571038
108.JPG,74.9,2.53,0.49906,3734,26.806876637373367,19564289.78204634
120.JPG,79.9,2.73,0.549869,3536,26.08646233748146,22326904.850195713
134.JPG,66.8,2.26,0.330805,4084,28.035088129998996,12115830.482119676
135.JPG,73.9,2.34,0.599468,4251,28.60254064662263,22022842.78290371
121.JPG,84.0,2.41,0.549056,4695,30.059161187261434,19669008.937063985
109.JPG,77.2,2.12,0.49909,5180,31.57358808879272,16975934.0623423
34.JPG,72.0,2.2,0.299722,3434,25.707462109908704,13154814.342963168
20.JPG,61.7,2.32,0.24990700000000002,6097,34.25446244043321,6428376.072881638
36.JPG,69.7,2.42,0.299679,3123,24.515742497962417,13249437.482575474
22.JPG,61.6,1.83,0.249488,3536,26.08646233748146,10864048.407948758
137.JPG,74.4,3.18,0.599307,5727,33.19882021823962,15154383.81264504
123.JPG,76.4,2.43,0.5487329999999999,4110,28.124186544499153,20629308.30567315
122.JPG,78.3,2.66,0.548956,3989,27.707100316209065,20421657.267985657
136.JPG,65.0,2.08,0.599287,5151,31.485082375604282,18962806.649786428
23.JPG,64.8,2.27,0.249546,3401,25.583642335900993,10303425.253777636
37.JPG,73.2,2.05,0.299774,3483,25.89022330010221,13597807.184528949
33.JPG,72.3,2.13,0.299928,3602,26.328790766136805,12934510.230477367
27.JPG,69.6,1.95,0.299765,3727,26.781737890272264,12921415.896747941
132.JPG,60.2,2.09,0.549766,4195,28.413520134204187,19481187.121654514
126.JPG,65.7,2.28,0.549104,3699,26.68094604602334,21387894.428211477
127.JPG,75.8,2.15,0.549018,3706,26.706179669486943,23620240.026717227
133.JPG,69.2,2.51,0.549205,4050,27.918145773062985,19548831.941723477
26.JPG,82.8,2.6,0.299744,3054,24.24340269093922,14170612.751307145
32.JPG,70.0,1.77,0.299631,2606,22.39475237273355,17779917.17596423
18.JPG,76.0,2.35,0.24995900000000001,3008,24.06013029697605,12044663.772858849
24.JPG,64.1,2.0,0.29959399999999997,3977,27.665393668909065,11655793.555145297
30.JPG,70.3,2.04,0.299481,5903,33.70508685162306,8984391.691562278
125.JPG,74.6,2.17,0.5493060000000001,5113,31.36873138634797,18331941.244297
131.JPG,66.0,2.3,0.548855,4019,27.811093301493358,20046501.074208528
119.JPG,71.3,2.26,0.549976,3490,25.9162268310274,23414054.490894362
118.JPG,75.9,2.13,0.5492480000000001,5023,31.091426482443087,18912049.605948538
