image,E(GPa),H(GPa),Load(N),InnerPixels,CrackLength(um),FractureToughness(Kc)
63.JPG,79.3,2.13,0.399132,1559,17.321365127751204,33782373.982532196
77.JPG,72.1,2.44,0.449432,1559,17.321365127751204,33889373.145888306
88.JPG,50.1,1.12,0.44990600000000003,1559,17.321365127751204,41740578.30153399
89.JPG,68.1,2.33,0.44986000000000004,1559,17.321365127751204,33736482.514314964
76.JPG,69.2,2.03,0.449484,1559,17.321365127751204,36403747.255209
62.JPG,80.3,2.32,0.39943599999999996,1559,17.321365127751204,32597763.858357783
74.JPG,67.4,2.25,0.44917,1559,17.321365127751204,34101717.82250024
60.JPG,74.1,2.2,0.349923,1559,17.321365127751204,28170663.61748722
48.JPG,74.3,2.2,0.349411,1559,17.321365127751204,28167380.776455864
149.JPG,72.4,2.19,0.599453,1559,17.321365127751204,47811149.88403819
148.JPG,72.9,2.19,0.599785,1559,17.321365127751204,48002530.49756
49.JPG,70.5,2.25,0.34981599999999996,1559,17.321365127751204,27162503.426229868
61.JPG,65.5,2.32,0.349834,1559,17.321365127751204,25784902.79581264
75.JPG,70.8,2.03,0.449182,1559,17.321365127751204,36797454.721452355
59.JPG,75.5,2.35,0.349972,1559,17.321365127751204,27516910.37166347
71.JPG,69.5,2.56,0.399128,1559,17.321365127751204,28847716.453994222
65.JPG,70.2,2.28,0.39965300000000004,1559,17.321365127751204,30761749.76978919
64.JPG,64.9,1.88,0.399428,1559,17.321365127751204,32554329.484128576
70.JPG,67.8,2.05,0.399363,1559,17.321365127751204,31859031.378535356
58.JPG,60.7,2.23,0.349262,1559,17.321365127751204,25276682.644015253
8.JPG,58.0,1.98,0.199843,1559,17.321365127751204,15003658.391809136
66.JPG,65.0,2.38,0.399814,1559,17.321365127751204,28983646.380940568
72.JPG,62.0,2.02,0.399199,1559,17.321365127751204,30678663.0775468
99.JPG,58.2,2.46,0.29668900000000004,1559,17.321365127751204,20018070.23690973
98.JPG,67.5,2.22,0.449453,1559,17.321365127751204,34378467.09263785
73.JPG,76.1,2.06,0.39916199999999996,1559,17.321365127751204,33653848.34743385
67.JPG,54.5,1.66,0.399303,1559,17.321365127751204,31737565.149754092
9.JPG,72.5,2.34,0.19989500000000002,1559,17.321365127751204,15434402.830429336
14.JPG,55.7,2.34,0.249597,1559,17.321365127751204,16892186.013374783
28.JPG,82.7,2.37,0.299977,1559,17.321365127751204,24580650.083530333
129.JPG,75.7,2.22,0.54887,1559,17.321365127751204,44459827.317694984
101.JPG,82.0,2.7,0.498892,1559,17.321365127751204,38138043.44430409
115.JPG,68.3,2.22,0.499684,1559,17.321365127751204,38446440.11694516
114.JPG,83.2,2.28,0.49908800000000003,1559,17.321365127751204,41821363.95213546
100.JPG,49.6,0.8,0.499243,1559,17.321365127751204,54529894.08697181
128.JPG,70.0,1.75,0.5489740000000001,1559,17.321365127751204,48162452.87864242
29.JPG,64.4,2.05,0.299611,1559,17.321365127751204,23294349.246012807
15.JPG,68.1,2.56,0.249667,1559,17.321365127751204,17862471.187739395
17.JPG,58.7,2.28,0.249787,1559,17.321365127751204,17581190.686941404
116.JPG,68.1,2.35,0.549271,1559,17.321365127751204,41015982.58730917
102.JPG,69.8,2.14,0.49955700000000003,1559,17.321365127751204,39576073.021442965
103.JPG,73.4,2.29,0.498917,1559,17.321365127751204,39181893.17320406
117.JPG,29.5,0.38,0.549566,1559,17.321365127751204,67168537.34246358
16.JPG,71.8,2.06,0.249579,1559,17.321365127751204,20439180.425360993
12.JPG,70.3,2.37,0.19972800000000002,1559,17.321365127751204,15089306.070949264
113.JPG,66.5,2.35,0.49961,1559,17.321365127751204,36866748.745043926
107.JPG,61.0,2.35,0.499349,1559,17.321365127751204,35290840.03069524
106.JPG,66.9,2.45,0.499808,1559,17.321365127751204,36229308.5213764
112.JPG,57.7,2.0,0.49912799999999996,1559,17.321365127751204,37188757.405499436
13.JPG,72.8,2.19,0.19987799999999997,1559,17.321365127751204,15985839.65904876
39.JPG,55.0,2.52,0.29948899999999995,1559,17.321365127751204,19408357.14177916
11.JPG,54.8,2.02,0.199852,1559,17.321365127751204,14439425.636986
104.JPG,74.2,2.34,0.49980399999999997,1559,17.321365127751204,39040967.94576407
110.JPG,65.7,2.22,0.499847,1559,17.321365127751204,37719863.51385422
138.JPG,70.4,2.31,0.599362,1559,17.321365127751204,45898275.63134623
139.JPG,66.5,2.32,0.508367,1559,17.321365127751204,37754698.50424226
111.JPG,105.9,5.6,0.49988900000000003,1559,17.321365127751204,30154655.549393777
105.JPG,79.0,2.43,0.499287,1559,17.321365127751204,39490032.61613105
